Date,Temperature
1/9/15 8:00,51.41
1/9/15 9:00,52.08
1/9/15 10:00,52.08
1/9/15 11:00,51.41
1/9/15 12:00,52.45
1/9/15 13:00,53.49
1/9/15 14:00,54.34
1/9/15 15:00,56.39
1/9/15 16:00,58.38
1/9/15 17:00,58.58
1/9/15 18:00,59.5
1/9/15 19:00,60.35
1/9/15 20:00,59.08
1/9/15 21:00,56.85
1/9/15 22:00,56.1
1/9/15 23:00,55.08
1/10/15 0:00,54.3
1/10/15 1:00,53.78
1/10/15 2:00,53.18
1/10/15 3:00,52.71
1/10/15 4:00,52.93
1/10/15 5:00,52.41
1/10/15 6:00,52.33
1/10/15 7:00,51.16
1/10/15 8:00,51.41
1/10/15 9:00,52.71
1/10/15 10:00,52.08
1/10/15 11:00,52.22
1/10/15 12:00,53.23
1/10/15 13:00,53.12
1/10/15 14:00,54.01
1/10/15 15:00,53.86
1/10/15 16:00,53.75
1/10/15 17:00,55.49
1/10/15 18:00,58.51
1/10/15 19:00,58.28
1/10/15 20:00,56.79
1/10/15 21:00,55.45
1/10/15 22:00,54.71
1/10/15 23:00,54.56
1/11/15 0:00,53.41
1/11/15 1:00,52.74
1/11/15 2:00,52.41
1/11/15 3:00,52.93
1/11/15 4:00,50.77
1/11/15 5:00,50.18
1/11/15 6:00,49.56
1/11/15 7:00,49.41
1/11/15 8:00,49.41
1/11/15 9:00,49.04
1/11/15 10:00,50.04
1/11/15 11:00,49.71
1/11/15 12:00,50.22
1/11/15 13:00,50.37
1/11/15 14:00,50.25
1/11/15 15:00,52.52
1/11/15 16:00,53.29
1/11/15 17:00,54.64
1/11/15 18:00,55.72
1/11/15 19:00,55.3
1/11/15 20:00,54.85
1/11/15 21:00,54.11
1/11/15 22:00,53.48
1/11/15 23:00,52.56
1/12/15 0:00,52.33
1/12/15 1:00,51.33
1/12/15 2:00,51.48
1/12/15 3:00,50.71
1/12/15 4:00,49.89
1/12/15 5:00,49.49
1/12/15 6:00,48.29
1/12/15 7:00,48.26
1/12/15 8:00,48.12
1/12/15 9:00,48.18
1/12/15 10:00,48.26
1/12/15 11:00,48.89
1/12/15 12:00,50.08
1/12/15 13:00,50.85
1/12/15 14:00,51.14
1/12/15 15:00,50.88
1/12/15 16:00,51.8
1/12/15 17:00,54.4
1/12/15 18:00,56.89
1/12/15 19:00,57.99
1/12/15 20:00,56.74
1/12/15 21:00,55.71
1/12/15 22:00,54.96
1/12/15 23:00,54.04
1/13/15 0:00,53.18
1/13/15 1:00,52.44
1/13/15 2:00,52.41
1/13/15 3:00,52.41
1/13/15 4:00,50.48
1/13/15 5:00,50.52
1/13/15 6:00,49.44
1/13/15 7:00,48.26
1/13/15 8:00,48.56
1/13/15 9:00,47.44
1/13/15 10:00,45.81
1/13/15 11:00,46.7
1/13/15 12:00,48.7
1/13/15 13:00,48.33
1/13/15 14:00,49.62
1/13/15 15:00,54.14
1/13/15 16:00,58.72
1/13/15 17:00,59.26
1/13/15 18:00,61.85
1/13/15 19:00,61.52
1/13/15 20:00,59.97
1/13/15 21:00,58.22
1/13/15 22:00,57.08
1/13/15 23:00,54.26
1/14/15 0:00,54.93
1/14/15 1:00,54.45
1/14/15 2:00,51.89
1/14/15 3:00,51
1/14/15 4:00,51.19
1/14/15 5:00,51.15
1/14/15 6:00,50.26
1/14/15 7:00,48.04
1/14/15 8:00,48.26
1/14/15 9:00,47.95
1/14/15 10:00,48.82
1/14/15 11:00,39
1/14/15 12:00,49
1/14/15 13:00,53.14
1/14/15 14:00,53.59
1/14/15 15:00,54.93
1/14/15 16:00,55.37
1/14/15 17:00,56.86
1/14/15 18:00,58.61
1/14/15 19:00,58.34
1/14/15 20:00,57.94
1/14/15 21:00,55.82
1/14/15 22:00,54.7
1/14/15 23:00,53.41
1/15/15 0:00,52.74
1/15/15 1:00,52.56
1/15/15 2:00,52.11
1/15/15 3:00,50.67
1/15/15 4:00,51.04
1/15/15 5:00,49.77
1/15/15 6:00,49.67
1/15/15 7:00,49.52
1/15/15 8:00,48.32
1/15/15 9:00,47.8
1/15/15 10:00,48.25
1/15/15 11:00,48.14
1/15/15 12:00,49.95
1/15/15 13:00,50.77
1/15/15 14:00,51.85
1/15/15 15:00,53.03
1/15/15 16:00,53.65
1/15/15 17:00,56.57
1/15/15 18:00,57.61
1/15/15 19:00,56.34
1/15/15 20:00,55.26
1/15/15 21:00,54.45
1/15/15 22:00,54.6
1/15/15 23:00,54.22
1/16/15 0:00,53.85
1/16/15 1:00,54.22
1/16/15 2:00,52.85
1/16/15 3:00,52.48
1/16/15 4:00,51.29
1/16/15 5:00,50.77
1/16/15 6:00,50.14
1/16/15 7:00,49.44
1/16/15 8:00,48.78
1/16/15 9:00,47
1/16/15 10:00,49.63
1/16/15 11:00,51.08
1/16/15 12:00,52.22
1/16/15 13:00,53.37
1/16/15 14:00,54.4
1/16/15 15:00,55.21
1/16/15 16:00,55.29
1/16/15 17:00,55.63
1/16/15 18:00,56.86
1/16/15 19:00,56.2
1/16/15 20:00,55.6
1/16/15 21:00,55.75
1/16/15 22:00,55.52
1/16/15 23:00,54.6
1/17/15 0:00,53.6
1/17/15 1:00,54.08
1/17/15 2:00,53.56
1/17/15 3:00,53.71
1/17/15 4:00,52.71
1/17/15 5:00,52.73
1/17/15 6:00,52.71
1/17/15 7:00,52.71
1/17/15 8:00,51.85
1/17/15 9:00,51.08
1/17/15 10:00,50.71
1/17/15 11:00,51.89
1/17/15 12:00,54.11
